Id;AvgPathLength;HasLoop;AvgCountLoop;CountReqEcCovered;EdgeCoverage;CountReqPcCovered;PrimePathCoverage
org.apache.commons.cli.ValueTest.testShortNoArgWithOption();5;0;0;4;0.6666666666666666;1;0.5
org.apache.commons.cli.ValueTest.testShortWithArgWithOption();5;0;0;0;0;0;0
org.apache.commons.cli.ValueTest.testShortOptionalArgNoValueWithOption();5;0;0;0;0;0;0
org.apache.commons.cli.ValueTest.testLongOptionalNArgValuesWithOption();5;0;0;0;0;0;0
org.apache.commons.cli.ValueTest.testShortOptionalArgValuesWithOption();8;1;1;7;0.875;3;0.3333333333333333
org.apache.commons.cli.ValueTest.testShortOptionalNArgValuesWithOption();8;1;1;0;0;0;0
org.apache.commons.cli.CommandLineTest.testGetParsedOptionValueWithOption();6;0;0;5;0.5555555555555556;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testNullhOption();4;0;0;2;0.2222222222222222;1;0.3333333333333333
org.apache.commons.cli.CommandLineTest.testGetOptionPropertiesWithOption();26.5;1;6;14;1;18;0.6428571428571428
org.apache.commons.cli.CommandLineTest.testGetOptionProperties();26.5;1;6;14;1;18;0.6428571428571428
org.apache.commons.cli.ParserTestCase.testPropertiesOption2();21;1;3;0;0;2;0.07142857142857142
org.apache.commons.cli.HelpFormatterTest.testHeaderStartingWithLineSeparator();10;0;0;9;0.6428571428571429;1;0.2
org.apache.commons.cli.HelpFormatterTest.testIndentedHeaderAndFooter();10;0;0;0;0;0;0
org.apache.commons.cli.HelpFormatterTest.testOptionWithoutShortFormat2();10;0;0;0;0;0;0
org.apache.commons.cli.HelpFormatterTest.testAutomaticUsage();18.5;1;1.5;16;0.7272727272727273;9;0.14285714285714285
org.apache.commons.cli.HelpFormatterTest.testPrintUsage();29;1;3;0;0;1;0.015873015873015872
org.apache.commons.cli.HelpFormatterTest.testPrintSortedUsage();29;1;3;0;0;0;0
org.apache.commons.cli.HelpFormatterTest.testPrintOptionWithEmptyArgNameUsage();15;1;1;0;0;0;0
org.apache.commons.cli.HelpFormatterTest.testUsageWithLongOptSeparator();29;1;3;0;0;0;0
org.apache.commons.cli.ApplicationTest.testLs();7.5;0;0;8;0.6153846153846154;2;0.3333333333333333
org.apache.commons.cli.ApplicationTest.testAnt();7;0;0;0;0;0;0
org.apache.commons.cli.ApplicationTest.testGroovy();7.5;0;0;0;0;0;0
org.apache.commons.cli.ApplicationTest.testNLT();8;0;0;0;0;0;0
org.apache.commons.cli.OptionsTest.testHelpOptions();7.5;0;0;0;0;0;0
org.apache.commons.cli.OptionsTest.testMissingOptionException();9;0;0;3;0.23076923076923078;1;0.16666666666666666
org.apache.commons.cli.OptionsTest.testMissingOptionsException();9;0;0;0;0;0;0
org.apache.commons.cli.OptionsTest.testGetOptionsGroups();13;1;2;8;0.8;6;0.6666666666666666
org.apache.commons.cli.OptionsTest.testGetMatchingOpts();10;1;1.3333333333333333;12;1;9;0.9
org.apache.commons.cli.PatternOptionBuilderTest.testSimplePattern();146;1;18;24;0.8888888888888888;21;0.42857142857142855
org.apache.commons.cli.PatternOptionBuilderTest.testEmptyPattern();9;0;0;1;0.037037037037037035;1;0.02040816326530612
org.apache.commons.cli.PatternOptionBuilderTest.testUntypedPattern();36;1;3;0;0;2;0.04081632653061224
org.apache.commons.cli.PatternOptionBuilderTest.testExistingFilePatternFileNotExist();21;1;2;0;0;0;0
